Ticker,Adoption,Stage,HG,LTG_W,LTG_M,Derection,LTG_W-HG
SNSR.O,30.4,6.5,14.3,5.8,4.2,-8.5,<0
PAVE.K,27.4,6.1,18.1,5.0,12.6,-13.1,<0
BOTZ.O,99.3,6.5,9.7,14.9,22.6,5.2,>5
PHO.O,30.3,17.3,10.7,5.4,5.9,-5.3,<0
AIQ.O,363.3,4.9,18.0,62.1,64.5,44.1,>20
BFIT.O,16.5,6.9,14.4,4.7,15.1,-9.7,<0
EVX,20.3,16.5,13.2,26.7,42.8,13.5,>10
SOCL.O,186.9,11.4,10.0,17.4,45.5,7.4,>5
MILN.O,226.6,6.9,13.9,46.2,46.2,32.3,>20
QTUM.K,109.1,4.6,17.1,21.2,19.6,4.1,>0
ESPO.O,142.6,4.5,18.6,11.8,22.5,-6.8,<0
ARKF.K,32.9,4.1,17.8,76.5,76.4,58.7,>20
AGNG.O,90.0,6.9,9.0,8.5,3.1,-0.5,<0
BETZ.K,7.8,2.8,3.8,12.5,31.0,8.7,>5
PRNT.K,92.9,6.7,8.2,15.3,43.2,7.1,>5
CIBR.O,47.7,7.7,17.5,51.6,2.9,34.1,>20
TAN,8.6,15.0,14.0,130.1,134.0,116.1,>20
CLOU.O,107.5,4.0,26.0,104.3,161.8,78.3,>20
IPAY.K,72.0,7.7,10.5,33.1,47.1,22.6,>20
ARKX.K,62.4,2.0,5.4,51.0,77.4,45.6,>20
ICLN.O,20.1,14.8,16.1,73.2,84.2,57.1,>20
FIVG.K,97.0,4.1,18.5,21.2,29.5,2.7,>0
EDOC.O,27.0,2.7,4.5,3.5,-2.7,-1.0,<0
IDRV.K,49.9,4.0,12.3,50.3,51.6,38.0,>20
EMQQ.K,112.6,8.4,11.5,71.0,74.8,59.5,>20
ARKW.K,69.5,8.5,28.1,63.6,99.8,35.5,>20
AWAY.K,15.8,3.1,2.0,76.8,230.6,74.8,>20
ONLN.K,288.3,4.7,11.2,326.1,187.2,314.9,>20
ARKK.K,77.9,8.4,26.3,50.7,169.3,24.4,>20
BKCH.O,36.1,1.7,6.4,11.3,0.5,4.9,>0
ARKG.K,22.1,8.4,2.6,1.6,-3.2,-1.0,<0
VPN.O,71.1,2.4,25.6,-132.3,-141.2,-157.9,<0
LIT,55.4,12.7,31.5,27.5,56.9,-4.0,<0
HYDR.O,11.3,1.7,2.4,15.2,60.2,12.8,>10
PBW,15.1,18.1,4.8,70.4,174.4,65.6,>20
